-88.157,5.8577,97.569,46.167,-97.784,1.1888,128.06,6.0264,6,0,0.57303,21.942,0.010158,48.898,0.041034,2.8503,0.00068337,0.57303
-87.826,4.448,100.37,20.711,-97.978,0.10822,132.02,6.2868,6,0,0.56922,21.944,0.0081334,48.787,0.018246,2.8499,0.00092484,0.53488
-87,5.5294,101.53,15.818,-97.823,0.49827,131.55,3.0593,6,0,0.53935,21.942,0.0079979,48.731,0.021746,2.848,0.00096159,0.57954
-90.725,5.9246,93.451,78.836,-97.294,2.5213,135.88,6.1069,6,0,0.57889,21.887,0.023251,48.65,0.022536,2.8465,0.0013816,0.57303
-91.744,1.0741,90.628,61.489,-97.372,2.0476,136.03,3.2389,6,0,0.56573,21.854,0.0081093,48.619,0.020217,2.8448,0.0013235,0.5
-91.143,1.1428,95.531,25.106,-96.755,5.5319,130.17,0,6,0,0.548,21.827,0.0069329,48.583,0.0078907,2.8432,0.001035,0.98
-91.128,1.7284,94.957,40.211,-97.808,0.5378,130.61,2.7211,6,0,0.976,21.844,0.0076471,48.59,0.013548,2.8427,0.0011231,0.94
-90.469,1.0246,96.388,22.646,-98,0,136.45,5.3512,6,0,0.94208,21.838,0.0070989,48.597,0.015915,2.8413,0.0011023,0.96078
-90.979,1.808,94.213,38.21,-97.511,2.9307,135.64,5.5363,6,0,0.95871,21.826,0.010878,48.584,0.0064587,2.8408,0.00090581,0.94
-91.02,1.4486,95.306,55.763,-97.633,0.88546,130.77,5.1282,6,0,0.93845,21.793,0.012322,48.579,0.0096869,2.8401,0.0013064,0.92453
-87.75,2.2292,99.521,29.625,-100.38,115.48,139.73,5.4795,6,0,0.93003,21.749,0.015995,48.558,0.018751,2.839,0.0011719,0.97959
-90.896,1.4266,93.917,48.868,-98.104,0.093316,135.59,5.4237,6,0,0.97763,21.706,0.017047,48.534,0.015987,2.8382,0.00060953,0.96
-90.674,1.9589,96.457,38.553,-97.239,2.8776,132.01,5.2805,6,0,0.95419,21.653,0.018375,48.516,0.01034,2.8375,0.0010713,0.90196
-90.688,1.8398,96.667,37.556,-98.104,0.093316,140.85,5.6338,6,0,0.90972,21.609,0.011517,48.52,0.0077464,2.8367,0.0013939,0.97959
